"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a customer
  I want to search for products
  So that I can view relevant search results","13397","Next pagination button should be visible on first page","","2026-08-08","passed","2026-08-08","","Product Search","Next pagination button should be visible on first page",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","11934","Search results should include the searched keyword in their titles","","2026-08-08","passed","2026-08-08","","Product Search","Search results should include the searched keyword in their titles",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","13253","Previous button should appear on second page","","2026-08-08","passed","2026-08-08","","Product Search","Previous button should appear on second page",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","10569","The search field should have the correct placeholder text","","2026-08-08","passed","2026-08-08","","Product Search","The search field should have the correct placeholder text",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","11885","Active page number should be 1 after performing a new search","","2026-08-08","passed","2026-08-08","","Product Search","Active page number should be 1 after performing a new search",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","19441","Search for a valid product","","2026-08-08","passed","2026-08-08","","Product Search","Search for a valid product",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","19367","Search for a valid product","","2026-08-08","passed","2026-08-08","","Product Search","Search for a valid product",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","21421","User can navigate to second page of search results","","2026-08-08","passed","2026-08-08","","Product Search","User can navigate to second page of search results",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","11211","Previous button should be disabled on first page","","2026-08-08","passed","2026-08-08","","Product Search","Previous button should be disabled on first page",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","12742","User can navigate using Next button","","2026-08-08","passed","2026-08-08","","Product Search","User can navigate using Next button",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","20257","Page title should contain searched product","","2026-08-08","passed","2026-08-08","","Product Search","Page title should contain searched product",""
